Pelanggan,Banyaknya Kendaraan,Banyaknya Kecelakaan Ringan,Banyaknya  Perjalanan Jauh,Banyaknya  Tahun sebagai Nasabah,banyaknya Klaim Asuransi
1,1,0,2,5,1
2,2,1,3,3,2
3,1,2,1,4,3
4,3,1,5,2,5
5,2,0,4,6,2
6,1,1,2,7,1
7,2,3,6,1,6
8,3,2,4,5,4
9,1,0,3,8,1
10,2,1,5,4,3
11,3,3,8,2,7
12,2,2,7,6,4
13,1,0,2,10,2
14,2,1,4,5,3
15,3,4,9,3,8
16,1,2,6,8,2
17,2,3,5,7,4
18,3,1,7,6,5
19,1,0,3,12,1
20,2,2,4,9,3
21,3,5,10,4,9
22,1,1,2,15,1
23,2,2,5,8,3
24,3,3,7,5,6
25,2,0,3,11,2
26,1,2,4,13,1
27,3,4,8,7,7
28,2,3,6,9,4
29,1,1,2,14,1
30,3,2,7,6,5
